Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE45864,"PHF6 OCCUPANCYIN HUMAN T-CELL ACUTE LYMPHOBLASTIC LEUKEMIA","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45864/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA196511",,SRP020622,"Richard A Young","Apr 01, 2014"
GSE51268,"Genome-wide analysis of p53 binding protein","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51268/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA222272",,SRP030630,"Nurmaa Dashzeveg","Apr 01, 2014"
GSE51274,"Breast tumor specific mutation in GATA3 impacts protein stability and genomic location","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BED;BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51274/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA222284",24758297,SRP030633,"Paul A Wade","Apr 01, 2014"
GSE56144,"Site-Specific Association with Host and Viral Chromatin by KSHV LANA and its Reversal during Lytic Reactivation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",33,,"BED;GTF;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56144/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA242969",24696474,SRP040694,"ALEXANDRE MERCIER","Apr 01, 2014"
GSE40243,"Hydroxymethylation at gene regulatory regions directs stem cell commitment during erythropoiesis","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40243/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA173888",24373966,SRP015138,"Jozef Madzo","Mar 28, 2014"
GSE52964,"BAF155 methylation at R1064 creates unique chromatin association patterns","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BED;BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52964/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230559",24434208,SRP033492,"Lu Wang","Mar 28, 2014"
GSE54327,"Genome-wide maps of HIF1a binding sites in ccRCC cell line under hypoxia condition","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54327/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA236347",24656772,SRP035639,"Jing Zhang","Mar 27, 2014"
GSE47481,"NELF-dependent transcription activation","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47481/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA205893",24636995,SRP023350,"Julian Wong","Mar 26, 2014"
GSE44742,"Genetic differences underlying chromatin discordance between monozygotic twins [FAIR-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",72,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44742/suppl",24887574,,"Hyo-Jeong Ban","Mar 24, 2014"
GSE53823,"Genetic differences underlying chromatin discordance between monozygotic twins","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by array","Homo sapiens",144,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53823/suppl",24887574,,"Hyo-Jeong Ban","Mar 24, 2014"
GSE55920,"Epigenomic Alterations Define Lethal CIMP positive Ependymomas of Infancy","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55920/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA241314",24553142,SRP040133,"Stephen Mack Christopher","Mar 15, 2014"
GSE46837,"SOX2 and p63 occupancy in human squamous carcinoma cell lines and embryonic stem cells.","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",11,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46837/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA202445",24590290,SRP022352,"Shouyong Peng","Mar 12, 2014"
GSE53927,"Identification of beta-catenin binding regions in SW480 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53927/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA233973",24651522,SRP035249,"Kazuhide Watanabe","Mar 12, 2014"
GSE50144,"Genome-wide maps of H3K27ac, PPARβ/δ and Pol II localization in HUVECs","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50144/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA216152",24721177,SRP029190,"Takahide Kohro","Mar 06, 2014"
GSE50171,"c-Jun Targets Cockayne Syndrome protein B to Specific Genomic Region for Transcription Regulation","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50171/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA216946",24743307;26578602,SRP029198,"Jieun Jeong","Mar 06, 2014"
GSE55579,"Digital Genomic Footprinting by Dnase I of fetal liver derived erythroid cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55579/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA240095",24753594,SRP039401,"John A Stamatoyannopoulos","Mar 05, 2014"
GSE53531,"Genome-wide activity of unliganded Estrogen Receptor alpha in breast cancer cells [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53531/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA232304",24639548,SRP034656,"Giulio Ferrero","Mar 03, 2014"
GSE53533,"Genome-wide activity of unliganded Estrogen Receptor-α in breast cancer cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,,,24639548,,"Giulio Ferrero","Mar 02, 2014"
GSE52371,"Genome-wide maps of histone H2A.Z and its chaperone.","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52371/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA227548",24613878,SRP032465,"Zhuqiang Zhang","Mar 01, 2014"
GSE54379,"Genome-wide chromatin maps of T-cell acute lymphoblastic leukemia (T-ALL) [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",28,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54379/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA236555",24584072,SRP035662,"Jiang Zhu","Mar 01, 2014"
GSE54380,"Genome-wide chromatin maps of T-cell acute lymphoblastic leukemia (T-ALL)","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",36,,"BW;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54380/suppl",24584072,,"Jiang Zhu","Mar 01, 2014"
GSE40502,"Transcription and enhancer profiling in human monocyte subsets","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40502/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA174187",24671955,SRP015328,"Michael Rehli","Feb 28, 2014"
GSE40668,"An atlas of in vivo transcribed enhancers in human primary cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40668/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA174535",24670763,SRP015454,"Michael Rehli","Feb 28, 2014"
GSE50491,"Regulation of the KEAP1/NRF2 oxidative stress response pathway by BRD4 in prostate and colorectal cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50491/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA217765",24763052,SRP029365,"Michal Ruth Schweiger","Feb 28, 2014"
GSE50610,"Role of DNA methylation in modulating transcription factor occupancy","Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing;Other","Homo sapiens",23,,"BED;BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50610/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA218088",26257180,SRP029595,"Matthew T Maurano","Feb 28, 2014"
GSE47027,"LRH-1 governs vital transcriptional programs in endocrine sensitive and resistant breast cancer cells: LRH-1 ChIP-seq","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47027/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA203306",24520076,SRP022857,"Nicolas Gévry","Feb 27, 2014"
GSE51169,"Dynamic Reorganization of the Cardiomyocyte Transcriptome in Response to TNFα-induced Proinflammatory Signaling [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51169/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA223647",24564208,SRP031851,"W. Lee Kraus","Feb 27, 2014"
GSE51225,"Dynamic Reorganization of the Cardiomyocyte Transcriptome in Response to TNFα-induced Proinflammatory Signaling","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",20,,"BED;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51225/suppl",24564208,,"W. Lee Kraus","Feb 27, 2014"
GSE54892,"LRH-1 governs vital transcriptional programs in endocrine sensitive and resistant breast cancer cells","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",16,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54892/suppl",24520076,,"Nicolas Gévry","Feb 27, 2014"
GSE55407,"Classifying leukemia types with chromatin conformation data (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55407/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA239520",24995990,SRP038996,"Josée Dostie","Feb 27, 2014"
GSE55408,"Classifying leukemia types with chromatin conformation data","Other;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",41,,"BIGWIG;FTR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55408/suppl",24995990,,"Josée Dostie","Feb 27, 2014"
GSE48423,"Histone variant H3.3-specific readout of H3K36 trimethylation by ZMYND11 links transcription elongation control to tumour suppression","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",13,,"TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48423/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA210152",24590075,SRP026454,"Yuanxin Xi","Feb 24, 2014"
GSE37377,"Vascular histone deacetylation by pharmacological HDAC inhibition [TSA, ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37377/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA159809",24732587,SRP012296,"Assam El-Osta","Feb 23, 2014"
GSE37378,"Vascular histone deacetylation by pharmacological HDAC inhibition","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens;Mus musculus",65,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37378/suppl",24732587,,"Assam El-Osta","Feb 23, 2014"
GSE44849,"Genome binding profile of TFIIH helicases XPB and XPD in HT1080 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44849/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA192416",24609361,SRP018946,"Lucas T Gray","Feb 18, 2014"
GSE55053,"Subtelomeric  CTCF and Cohesin binding site organization using improved subtelomere assemblies and a novel annotation pipeline","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55053/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA238475",24676094,SRP038083,"Nicholas Stong","Feb 18, 2014"
GSE55043,"Dendritic Cell Fate is Determined by BCL11A  ","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55043/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA238319",24591644,SRP037977,"Bum-Kyu Lee","Feb 15, 2014"
GSE47188,"Transcriptome-based network analysis reveals a spectrum model of human macrophage activation [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA205048",24530056;26729620,SRP022971,"Joachim Schultze","Feb 13, 2014"
GSE47189,"Transcriptome-based network analysis reveals a spectrum model of human macrophage activation","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",412,,,,24530056,,"Joachim Schultze","Feb 13, 2014"
GSE54907,"Extensive Evolutionary Changes in Regulatory Element Activity during Human Origins Are Associated with Altered Gene Expression and Positive Selection [Dnase-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Macaca mulatta;Pan troglodytes",15,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54907/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA238021",22761590,SRP037720,"Yoichiro Shibata","Feb 13, 2014"
GSE54908,"Extensive Evolutionary Changes in Regulatory Element Activity during Human Origins Are Associated with Altered Gene Expression and Positive Selection","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Macaca mulatta;Pan troglodytes",30,,"BIGWIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54908/suppl",22761590,,"Yoichiro Shibata","Feb 13, 2014"
GSE42951,"Genome-wide maps of WT and over-expressing CenH3/CENP-A in Human HeLa S3 cells","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",16,,"BED;TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42951/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA183936",24530302,SRP017577,"Genevieve Almouzni","Feb 12, 2014"
GSE49334,"Mapping of somatic linker histone H1 variants in T47D-MTVL cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49334/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA213643",24476918;25645921,SRP028307,"Albert Jordan","Feb 04, 2014"
GSE49345,"Genomic distribution of human histone H1 subtypes","Expression profiling by array;Genome binding/occupancy profiling by genome tiling array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"GFF;PAIR;TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49345/suppl",24476918;25645921,,"Albert Jordan","Feb 04, 2014"
GSE53008,"Genome-wide map of RNA polymerase II, NELF, and DSIF in HeLa cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53008/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230673",24515107,SRP033525,"David Price","Feb 01, 2014"
GSE53495,"Reciprocal interactions of human C10orf12 and C17orf96 with PRC2 revealed by BioTAP-XL crosslinking and affinity purification","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"TDF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53495/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA232134",24550272,SRP034625,"Peter Kharchenko","Feb 01, 2014"
GSE43022,"ZFX controls the propagation and cell-of-origin characteristics of acute leukemia","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",32,,"BED;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43022/suppl",24485662,,"Stuart Weisberg","Jan 30, 2014"
GSE43147,"Genome wide maps of ZFX binding in human leukemia cell lines","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43147/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA184723",24485662,SRP017686,"Stuart Weisberg","Jan 30, 2014"
GSE51621,"Comprehensive Functional Annotation of 77 Prostate Cancer Risk Loci","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"GFF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51621/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA224101",24497837,SRP031864,"Peggy J Farnham","Jan 28, 2014"
GSE42566,"The Central Role of EED in the Orchestration of Polycomb Group Complexes","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42566/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA182305",,SRP017337,"Meng Zhao","Jan 23, 2014"
GSE52725,"Next Generation Sequencing Facilitates Quantitative Analysis of effect of knockdown of GATA2 on AR binding sites","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52725/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA229904",24423874,SRP033312,"Qianben Wang","Jan 21, 2014"
GSE52419,"ZFHX4 and CHD4 ChIP sequencing in glioblastoma tumor initiating cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52419/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA228347",24440720,SRP033027,"Milan Girish Chheda","Jan 16, 2014"
GSE51022,"ChIP-seq of MDA-MB-134 cell line","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51022/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA219645",24425047,SRP030039,"Amir Bahreini","Jan 15, 2014"
GSE50681,"MITF ChIP-seq in primary melanocyte and melanoma as a function of oncogenic BRAF","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50681/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA218480",24443471,SRP029693,"Paul Khavari","Jan 14, 2014"
GSE50686,"Role of MITF in melanoma","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50686/suppl",24443471,,"Paul Khavari","Jan 14, 2014"
GSE51633,"Brd4 and JMJD6-associated Anti-pause Enhancers in Regulation of Transcriptional Pause Release","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",40,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51633/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA224140",24360279,SRP031885,"Qi Ma","Jan 14, 2014"
GSE54027,"HoxC11 ChIP-seq of LY2 Breast Cancer Cell Line","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54027/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA234387",24648347,SRP035357,"Leonie Young","Jan 14, 2014"
GSE28332,"The Demethylase JMJD2C/KDM4C Localizes to H3K4me3 Positive Transcription Start Sites","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",30,,"BEDGRAPH;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28332/suppl",24396064,,"Marianne Terndrup Pedersen","Jan 09, 2014"
GSE53938,"The Demethylase JMJD2C/KDM4C Localizes to H3K4me3 Positive Transcription Start Sites (ChIP-seq KYSE150 cell line)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53938/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA234001",24396064,SRP035261,"Marianne Terndrup Pedersen","Jan 09, 2014"
GSE53855,"CDK2-dependent activation of PARP-1 is required for hormonal gene regulation in breast cancer cells.","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53855/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA233576",27257257,SRP035158,"Miguel Beato","Jan 08, 2014"
GSE44438,"H3K27me3 in human bladder transitional cell carcinoma cell line CL1207","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44438/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA189975",24021381,SRP018784,"Valentina Boeva","Jan 07, 2014"
GSE53809,"PGC7 and TET3 ChIP-seq results","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53809/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA233405",,SRP034919,"Xiaochun Yu","Jan 04, 2014"
GSE44416,"Genome-wide binding of TEAD4 in gastric cancer cell lines MKN28 and SNU216","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44416/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA189846",24325916,SRP018767,"Byungho Lim","Jan 02, 2014"
GSE43786,"Physiological Vascular Permeability Requires Induction of Endothelial NR4A1 by Progesterone Receptor [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BW;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43786/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA187478",24485460,SRP018235,"Lauren Goddard","Jan 01, 2014"
GSE43789,"Physiological Vascular Permeability Requires Induction of Endothelial NR4A1 by Progesterone Receptor","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"BW;GTF;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43789/suppl",,,"Lauren Goddard","Jan 01, 2014"
GSE45124,"Genome wide mapping of PSF binding sites in prostate cancer cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BAR;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45124/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA192937",,SRP019259,"Ken-ichi Takayama","Jan 01, 2014"
GSE46503,"Selective suppression of endothelial cytokine production by progesterone receptor","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",14,,"BW;GTF;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46503/suppl",,,"Lauren Goddard","Jan 01, 2014"
GSE52924,"ChIP-seq analysis of chromatin state plasticity in primary human adult erythroid progenitor cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52924/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230472",24395799,SRP033440,"Jian Xu","Jan 01, 2014"
GSE32892,"A genome-wide and dose-dependent inhibition map of androgen receptor binding by small molecules reveals its regulatory program upon antagonism","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",20,,"BED;CEL;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32892/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA146631",22849360,SRP008849,"Zhou Zhu","Dec 31, 2013"
