Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE97111,"Ubiquitin C-terminal hydrolase isozyme L1 (UCHL1) is associated with shelterin complex at interstitial telomeric sites","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97111/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA380736",29126443,SRP102576,"Jim Davie","Feb 23, 2018"
GSE98330,"Changes in chromatin state reveal a central role for the transcription factor ARNT2, in the control of glioblastoma stem cell tumorigenicity","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98330/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA384724",29149419,SRP105406,"Alexandra Bogeas","Feb 23, 2018"
GSE107078,"Peptidomimetic blockade of MYB in acute myeloid leukemia [H3K27ac ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107078/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA418963",29317678,SRP125218,"Richard Koche","Feb 23, 2018"
GSE109652,"Transcription elongation rate affects nascent histone pre-mRNA folding and 3’ end processing","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",16,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109652/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA435673",29483154,SRP133353,"David L. Bentley","Feb 23, 2018"
GSE94958,"Identification of the RB loss-induced E2F1 cistrome in prostate cancer [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94958/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA374919",29202480,SRP099930,"Christopher McNair","Feb 22, 2018"
GSE94959,"Identification of the RB loss-induced transcriptome and E2F1 cistrome in prostate cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94959/suppl",29202480,,"Christopher McNair","Feb 22, 2018"
GSE104059,"Bivalent complexes of PRC1 with orthologs of BRD4 and MOZ/MORF target developmental genes in Drosophila","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster;Homo sapiens",36,,"BIGWIG;TDF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104059/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA408128",29070704,SRP118320,"Mitzi Kuroda","Feb 22, 2018"
GSE105116,"Identification of the impact of RB status on chromatin accessibility [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE105nnn/GSE105116/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA414727",29202480,SRP120306,"Christopher McNair","Feb 22, 2018"
GSE99889,"Genome-wide maps of HIC1 binding sites in human induced regulatory T (iTreg) cells after 72h post polarization","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99889/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA389910",29466736,SRP108907,"Kartiek Kanduri","Feb 21, 2018"
GSE110824,"Parallel-factor ER ChIP-seq of Breast Cancer PDX Material","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110824/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA434662",29672735;27641504,SRP133098,"Andrew Nicholas Holding","Feb 21, 2018"
GSE100693,"Ezh2 and Runx1 Mutations Collaborate to Initiate Lympho-Myeloid Leukemia in Early Thymic Progenitors [Mouse bone marrow and human cell line ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus",28,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100693/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA392684",29438697,SRP110823,"Christopher Booth","Feb 19, 2018"
GSE100695,"Ezh2 and Runx1 Mutations Collaborate to Initiate Lympho-Myeloid Leukemia in Early Thymic Progenitors","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus",52,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100695/suppl",29438697,,"Christopher Booth","Feb 19, 2018"
GSE110800,"RRAD, IL4I1, CDKN1A, and SERPINE1 genes are potentially co-regulated by NF-κB and p53 transcription factors in cells exposed to high doses of ionizing radiation [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110800/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA434584",30419821,SRP133071,"Tomasz Stokowy","Feb 19, 2018"
GSE97648,"Drosha drives the formation of DNA:RNA hybrids around DNA break sites to facilitate DNA damage repair","Genome binding/occupancy profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",19,,"BED;TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97648/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA382559",29416038,SRP103804,"Martin Bushell","Feb 18, 2018"
GSE98675,"The lipodystrophic hotspot lamin A p.R482W mutation deregulates the mesodermal inducer T/Brachyury and early vascular differentiation gene networks","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98675/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA385862",29438482,SRP106659,"Philippe Collas","Feb 17, 2018"
GSE110758,"Massively parallel dissection of human accelerated regions in human and chimpanzee neural progenitors [human]","Other;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",57,,"NARROWPEAK;TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110758/suppl",,,"Jay Shendure","Feb 17, 2018"
GSE110760,"Massively parallel dissection of human accelerated regions in human and chimpanzee neural progenitors","Other;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Pan troglodytes",107,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110760/suppl",,,"Jay Shendure","Feb 17, 2018"
GSE92443,"TGF-beta signalling through SMAD1/5 is required for epithelial-to-mesenchymal transition","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92443/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA357571",29376829,SRP095175,"Caroline S Hill","Feb 16, 2018"
GSE93090,"Role of remodeling and spacing factor 1 in histone H2A ubiquitination mediated gene silencing","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",13,,"TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93090/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA359934",28855339,SRP095955,"Hengbin Wang","Feb 16, 2018"
GSE96084,"Bypassing drug-resistance mechanisms of prostate cancer with small-molecules that target androgen receptor chromatin interactions","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96084/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA378776",28775145,SRP101727,"Scott M Dehm","Feb 16, 2018"
GSE102655,"Rescue of Fragile X syndrome by DNA methylation editing of the FMR1 [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102655/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA398271",29456084,SRP115431,"Xuebing Wu","Feb 16, 2018"
GSE102684,"Rescue of Fragile X syndrome by DNA methylation editing of the FMR1 [ChIP-seq II]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",18,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102684/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA398386",29456084,SRP115488,"Richard A Young","Feb 16, 2018"
GSE108577,"Rescue of Fragile X syndrome by DNA methylation editing of the FMR1","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",35,,"BW;COV;TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108577/suppl",29456084,,"Shawn Liu","Feb 16, 2018"
GSE80799,"Implications of CpG islands on chromosomal architectures and modes of global gene regulation","Expression profiling by array;Other;Third-party reanalysis;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens;Mus musculus",0,,,,29529258,,"Jonghwan Kim","Feb 15, 2018"
GSE106552,"H3K27Ac in MCF7 Y537S ER mutant cells and RNAseq with and without treatment with THZ1","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BW;CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106552/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA417235",29438694,SRP124226,"Rinath Jeselsohn","Feb 15, 2018"
GSE83347,"Differential gene expression of human melanoma cells [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"XLS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83347/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA325676",29202482,SRP076568,"Yvonne Edwards","Feb 14, 2018"
GSE83400,"GDF6-induced BMP signaling reawakens a neural crest identity in melanoma to prevent cell death and differentiation","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Danio rerio;Homo sapiens",37,,"PAIR;XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83400/suppl",29202482,,"Yvonne Edwards","Feb 14, 2018"
GSE89029,"H3K79me2 ChIP-seq profiling in melanoma","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89029/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA349975",29343685,SRP091916,"Xiaoyang Zhang","Feb 14, 2018"
GSE76856,"Methylation of Transcription Factor YY2 Regulates its Transcriptional Activity and Cell Proliferation","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76856/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA308775",29098080,SRP068438,"Wen Liu","Feb 13, 2018"
GSE86232,"ERK potentiates transactivation and oncogenic function of ERG by phosphorylation induced dissociation of PRC2 complex","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",20,,"TXT;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86232/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA340977",28887309,SRP083756,"Vivekananda Kedage","Feb 13, 2018"
GSE96878,"Methylation of Transcription Factor YY2 Regulates its Transcriptional Activity and Cell Proliferation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BIGWIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96878/suppl",29098080,,"Wen Liu","Feb 13, 2018"
GSE97570,"HoxC5 and Pbx4 repress hTERT to limit telomerase activity","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97570/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA382331",29311615,SRP103761,"Wen Fong Ooi","Feb 13, 2018"
GSE110502,"Characterizing protein-DNA binding event subtypes in ChIP-exo data","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Saccharomyces cerevisiae",9,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110502/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA433873",,SRP132723,"Shaun Mahony","Feb 13, 2018"
GSE35960,"Distribution of transcription elongation complex in the PTPRN2 gene","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35960/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA152053",,SRP011002,"XiaLu Li","Feb 12, 2018"
GSE35964,"Tumor suppressor REST/NRSF controls genome stability by preventing R-loop formation","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35964/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA152061",,SRP011003,"XiaLu Li","Feb 12, 2018"
GSE65974,"Genome-wide maps of Brd7 binding sites in control and BRD7 overexpressed cells.","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"TAR;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65974/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA275630",,SRP055088,"Wei Xiong","Feb 12, 2018"
GSE65981,"BRD7 overexpression cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"TAR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65981/suppl",,,"Wei Xiong","Feb 12, 2018"
GSE110453,"KMT2D regulates p63 target enhancers to coordinate epithelial homeostasis [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",15,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110453/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA433767",29440247,SRP132655,"Yemin Lan","Feb 12, 2018"
GSE110475,"KMT2D regulates p63 target enhancers to coordinate epithelial homeostasis","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",27,,"BIGWIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110475/suppl",29440247,,"Yemin Lan","Feb 12, 2018"
GSE68858,"Three-dimensional analysis of regulatory features reveals functional enhancer-associated loops","Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",6,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68858/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA283913",30548288,SRP058323,"Seth Frietze","Feb 10, 2018"
GSE110348,"Alternative NF-kB pathway hierarchy defines a DNA-binding network in Hodgkin Lymphoma","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",24,,"SGR;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110348/suppl",,,"Stella Ranuncolo","Feb 09, 2018"
GSE100580,"p38-MK2 signaling axis regulates RNA metabolism  after UV light-induced DNA damage","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100580/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA392173",29523821,SRP110628,"Petra Beli","Feb 08, 2018"
GSE110387,"Pro-inflammatory cytokine and high doses of ionizing radiation have similar effects on the expression of NF-kappaB-dependent genes","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",63,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110387/suppl",29476964;30419821,,"Tomasz Stokowy","Feb 08, 2018"
GSE94986,"Epigenome-wide analysis of DNA methylation in lung tissue shows concordance with blood studies and identifies tobacco smoke-inducible enhancers","Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",8,,"BED;BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94986/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA375086",28854564,SRP100067,"Crystal N Marconett","Feb 07, 2018"
GSE97831,"RNA-seq and ChIP-seq analysis of BMI1 or RING1B-silenced prostate cancer cells C4-2","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97831/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA382981",29402932,SRP103945,"Dongyu Zhao","Feb 07, 2018"
GSE107553,"Cistrome analysis of SKI and RUNX1 in HL60","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107553/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA420513",29471413,SRP125911,"Uta Maria Bauer","Feb 07, 2018"
GSE107556,"Combined cistrome and transcriptome analysis of SKI in AML cells identifies SKI as a co-repressor for RUNX1","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",20,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107556/suppl",29471413,,"Uta Maria Bauer","Feb 07, 2018"
GSE108830,"Crosstalk between the RNA methylation and histone binding activities of MePCE regulates P-TEFb activation on chromatin","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",19,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108830/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA428755",29425494,SRP128133,"Blerta Xhemalce","Feb 05, 2018"
GSE104399,"Characterizing steroid hormone receptor chromatin binding landscapes in male and female breast cancer","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",86,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104399/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA412535",29396493,SRP119087,"Wilbert Zwart","Feb 02, 2018"
GSE110017,"A novel CD4 T cell population expanded in SLE blood provides B cell help through IL10 and succinate [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110017/suppl",30478422,,"Diogo F Troggian Veiga","Feb 02, 2018"
GSE110050,"PRMT1 and CSNK1a1 control epidermal progenitor maintanence (PRMT1 ChIP-seq data set)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110050/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA432778",28943242,SRP132118,"Yuning Wei","Feb 02, 2018"
GSE86454,"Genes and mechanisms regulated by androgens as possible contributors to the male excess observed in autism [hNSCs]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86454/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA341957",,SRP086624,"Angélique Quartier","Feb 01, 2018"
GSE86456,"Genes and mechanisms regulated by androgens as possible contributors to the male excess observed in autism [LNCaP]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86456/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA341958",,SRP086623,"Angélique Quartier","Feb 01, 2018"
GSE86458,"Genes and mechanisms regulated by androgens as possible contributors to the male excess observed in autism","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",50,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86458/suppl",,,"Angélique Quartier","Feb 01, 2018"
GSE89420,"Surveillance of rRNA synthesis by an RNA helicase mediates tissue-specific developmental disorders","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",10,,"BW;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89420/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA352129",29364875,SRP092428,"Eliezer Calo","Feb 01, 2018"
GSE106623,"Chromatin accessibility of GIST48, GIST882 and GIST-T1 cells with ETV1 or FOXF1 knockdown","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106623/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA417537",,SRP124659,"Yuedan Chen","Feb 01, 2018"
GSE106624,"ETV1 and FOXF1 cistrome in wildtype GIST48, GIST-T1, MDA-PCa2b, and ETV1 or FOXF1 knocked-down GIST48 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",23,,"BIGWIG;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106624/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA417539",,SRP124660,"Yuedan Chen","Feb 01, 2018"
GSE106626,"FOXF1 defines the core-regulatory circuitry in gastrointestinal stromal tumor (GIST)","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",38,,"BIGWIG;NARROWPEAK","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106626/suppl",,,"Yuedan Chen","Feb 01, 2018"
GSE109721,"ChIP-seq for H3K4me3, H3K27me3, H3K79me2 in MCF10A cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BROADPEAK;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109721/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA431792",,SRP131507,"Dexter X Jin","Feb 01, 2018"
GSE109996,"Pro-inflammatory cytokine and high doses of ionizing radiation have similar effects on the expression of NF-kappaB-dependent genes [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109996/suppl",29476964,,"Tomasz Stokowy","Feb 01, 2018"
GSE104162,"SALP, a new NGS library construction method especially useful for the high-throughput characterization of chromatin openness states","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",11,,"BIGWIG;BW;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104162/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA411840",29439663,SRP118718,"Jian Wu","Jan 31, 2018"
GSE80150,"Enhancer invasion shapes MYCN dependent transcriptional amplification in neuroblastoma [ChIP_RX]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80150/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA318041",29379199,SRP073113,"James Bradner","Jan 30, 2018"
GSE80151,"Enhancer invasion shapes MYCN dependent transcriptional amplification in neuroblastoma [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",40,,"WIG;XLS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80151/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA318044",29379199,SRP073110,"James Bradner","Jan 30, 2018"
GSE86412,"MYC favors the onset of tumorigenesis by inducing epigenetic reprogramming of mammary epithelial cells towards a stem cell-like state [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",15,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86412/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA341713",29523784,SRP084394,"CIBIO Zippo","Jan 30, 2018"
GSE86416,"MYC favors the onset of tumorigenesis by inducing epigenetic reprogramming of mammary epithelial cells towards a stem cell-like state","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by array","Homo sapiens",33,,"BED;IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86416/suppl",29523784,,"CIBIO Zippo","Jan 30, 2018"
GSE91018,"Genome-wide RELA binding sites in response to 5 microbial stimuli in Detroit562 cells [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",19,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91018/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA356690",29959281;31061469,SRP094746,"Lisa Borghini","Jan 30, 2018"
GSE91020,"Variation of genome-wide NF-kappa B RELA binding sites in response to different microbial stimuli","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",33,,"DIFF;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91020/suppl",29959281;31061469,,"Lisa Borghini","Jan 30, 2018"
